accession,lineage,scorpio_name
EPI_ISL_10856823,AY.33.2,Delta (B.1.617.2-like)
EPI_ISL_14727516,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16239628,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15287627,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9909406,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16438551,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16438454,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_10497612,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_15498382,BA.2,Omicron (BA.2-like)
EPI_ISL_16197228,BA.2,Omicron (BA.2-like)
EPI_ISL_15497432,BA.2,Omicron (BA.2-like)
EPI_ISL_15497526,BA.2,Omicron (BA.2-like)
EPI_ISL_14729053,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_13292970,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16196855,BA.2.3,Omicron (BA.2-like)
EPI_ISL_10192128,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16232895,BA.2,Omicron (BA.2-like)
EPI_ISL_13292576,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13300998,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_14729161,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15497413,BA.1,Omicron (BA.1-like)
EPI_ISL_15498215,BA.1,Omicron (BA.1-like)
EPI_ISL_16196872,BA.1,Omicron (BA.1-like)
EPI_ISL_15498435,XAU,Omicron (BA.2-like)
EPI_ISL_16197436,BA.2.3,Omicron (BA.2-like)
EPI_ISL_13292811,BA.2.3,Omicron (BA.2-like)
EPI_ISL_13292623,BA.2,Omicron (BA.2-like)
EPI_ISL_16233500,BA.2,Omicron (BA.2-like)
EPI_ISL_16197362,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_12351875,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16197797,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16195095,BA.2,Omicron (BA.2-like)
EPI_ISL_12351915,BA.2,Omicron (BA.2-like)
EPI_ISL_16197589,BA.2,Omicron (BA.2-like)
EPI_ISL_16211395,BA.2,Omicron (BA.2-like)
EPI_ISL_14727549,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9848149,BA.2,Omicron (BA.2-like)
EPI_ISL_16232969,BA.2,Omicron (BA.2-like)
EPI_ISL_16211264,BA.2,Omicron (BA.2-like)
EPI_ISL_12958918,BA.4,Omicron (BA.4-like)
EPI_ISL_12351766,BA.2,Omicron (BA.2-like)
EPI_ISL_16195612,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_14727628,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16233126,BA.5.1,Omicron (BA.5-like)
EPI_ISL_12351622,BA.2,Omicron (BA.2-like)
EPI_ISL_13002240,BA.2,Omicron (BA.2-like)
EPI_ISL_16233073,BA.2,Omicron (BA.2-like)
EPI_ISL_9084581,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16196062,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16194955,BA.1.17,Omicron (Unassigned)
EPI_ISL_12398582,BA.2.9,Omicron (BA.2-like)
EPI_ISL_9909425,AY.43,Delta (B.1.617.2-like)
EPI_ISL_15498427,BA.2,Omicron (BA.2-like)
EPI_ISL_16240615,BA.2,Omicron (BA.2-like)
EPI_ISL_16240531,BA.2,Omicron (BA.2-like)
EPI_ISL_13300921,BA.2,Omicron (BA.2-like)
EPI_ISL_15497829,BA.2,Omicron (BA.2-like)
EPI_ISL_13292856,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16196919,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16197678,BA.2,Omicron (BA.2-like)
EPI_ISL_16211599,BF.1,Omicron (BA.5-like)
EPI_ISL_16240268,BF.1,Omicron (BA.5-like)
EPI_ISL_16239587,BA.2,Omicron (BA.2-like)
EPI_ISL_12918775,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16197497,BA.2,Omicron (BA.2-like)
EPI_ISL_14476527,BA.2.18,Omicron (BA.2-like)
EPI_ISL_15498727,BA.4,Omicron (BA.4-like)
EPI_ISL_16438744,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351671,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197480,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211215,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292937,BA.2,Omicron (BA.2-like)
EPI_ISL_16196819,BA.2.5,Omicron (BA.2-like)
EPI_ISL_13292736,BA.2.5,Omicron (BA.2-like)
EPI_ISL_16198002,BA.2.3,Omicron (BA.2-like)
EPI_ISL_13300920,BA.2,Omicron (BA.2-like)
EPI_ISL_12351945,BA.2,Omicron (BA.2-like)
EPI_ISL_12628077,BA.2,Omicron (BA.2-like)
EPI_ISL_15498463,BA.2,Omicron (BA.2-like)
EPI_ISL_15498056,BA.2,Omicron (BA.2-like)
EPI_ISL_11580163,BA.2,Omicron (BA.2-like)
EPI_ISL_13293033,BA.2,Omicron (BA.2-like)
EPI_ISL_16197587,BA.2,Omicron (BA.2-like)
EPI_ISL_16239705,BA.4,Omicron (BA.4-like)
EPI_ISL_13300884,BA.2,Omicron (BA.2-like)
EPI_ISL_12687975,BA.2,Omicron (BA.2-like)
EPI_ISL_15498246,BA.2,Omicron (BA.2-like)
EPI_ISL_12351574,BA.2,Omicron (BA.2-like)
EPI_ISL_16211957,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16438446,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197886,BA.2,Omicron (BA.2-like)
EPI_ISL_13292829,BA.2,Omicron (BA.2-like)
EPI_ISL_15498345,XAU,Omicron (BA.2-like)
EPI_ISL_16438611,BA.1.17,Omicron (BA.1-like)
EPI_ISL_9620250,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16233485,BA.2,Omicron (BA.2-like)
EPI_ISL_9610099,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211085,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351569,BA.2,Omicron (BA.2-like)
EPI_ISL_16198087,AY.4,Delta (AY.4-like)
EPI_ISL_16177764,AY.4,Delta (AY.4-like)
EPI_ISL_15497390,BA.2,Omicron (BA.2-like)
EPI_ISL_16197950,BA.2,Omicron (BA.2-like)
EPI_ISL_16211088,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351571,BA.2,Omicron (BA.2-like)
EPI_ISL_13660215,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15497141,BA.2,Omicron (BA.2-like)
EPI_ISL_16233572,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729233,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9703916,BA.2,Omicron (BA.2-like)
EPI_ISL_16197064,BA.2,Omicron (BA.2-like)
EPI_ISL_15030410,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16240446,BA.2,Omicron (BA.2-like)
EPI_ISL_16211580,BA.2,Omicron (BA.2-like)
EPI_ISL_9909459,AY.125,Delta (B.1.617.2-like)
EPI_ISL_16239531,BA.5.2.22,Omicron (BA.5-like)
EPI_ISL_16211164,BA.2,Omicron (BA.2-like)
EPI_ISL_13292551,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13293025,BA.2,Omicron (BA.2-like)
EPI_ISL_16196878,BA.2,Omicron (BA.2-like)
EPI_ISL_15497570,BA.2,Omicron (BA.2-like)
EPI_ISL_13301005,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16195266,BA.2,Omicron (BA.2-like)
EPI_ISL_9612975,AY.122,Delta (B.1.617.2-like)
EPI_ISL_16211213,BA.2,Omicron (BA.2-like)
EPI_ISL_15498190,BA.2,Omicron (BA.2-like)
EPI_ISL_16232855,BA.2,Omicron (BA.2-like)
EPI_ISL_16438630,BA.2,Omicron (BA.2-like)
EPI_ISL_16197446,BA.2,Omicron (BA.2-like)
EPI_ISL_16438758,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16211188,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211597,BA.2,Omicron (BA.2-like)
EPI_ISL_16211318,BA.4,Omicron (BA.4-like)
EPI_ISL_14728988,BA.4,Omicron (BA.4-like)
EPI_ISL_16233189,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16211593,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729002,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729503,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15497788,BA.2,Omicron (BA.2-like)
EPI_ISL_16195616,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16240272,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_13622944,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_13300945,BA.2.3,Omicron (BA.2-like)
EPI_ISL_13292983,BA.2.3,Omicron (BA.2-like)
EPI_ISL_14728009,BA.2.3,Omicron (BA.2-like)
EPI_ISL_12771762,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16212025,BA.2.3,Omicron (BA.2-like)
EPI_ISL_11142071,AY.43,Delta (B.1.617.2-like)
EPI_ISL_12398580,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14727548,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13293007,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292618,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729220,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16198034,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16240247,BA.2.8,Omicron (BA.2-like)
EPI_ISL_15496988,BA.1.1,Omicron (BA.1-like)
EPI_ISL_9620290,AY.125,Delta (B.1.617.2-like)
EPI_ISL_13292759,BA.2,Omicron (BA.2-like)
EPI_ISL_16212029,BA.2,Omicron (BA.2-like)
EPI_ISL_16211819,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16233382,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_9620242,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16239781,BA.2,Omicron (BA.2-like)
EPI_ISL_16197737,BA.2,Omicron (BA.2-like)
EPI_ISL_16197398,BA.2.9,Omicron (BA.2-like)
EPI_ISL_14727629,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13638549,BA.2,Omicron (BA.2-like)
EPI_ISL_11781666,BA.2,Omicron (BA.2-like)
EPI_ISL_14729299,BA.2.56,Omicron (BA.2-like)
EPI_ISL_15496987,BA.2,Omicron (BA.2-like)
EPI_ISL_16438362,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16233395,BA.2,Omicron (BA.2-like)
EPI_ISL_12351522,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12958923,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16196070,BA.1.1,Omicron (BA.1-like)
EPI_ISL_13292848,BA.2,Omicron (BA.2-like)
EPI_ISL_12351516,BA.2,Omicron (BA.2-like)
EPI_ISL_12398595,BA.2,Omicron (BA.2-like)
EPI_ISL_16195779,BA.2,Omicron (BA.2-like)
EPI_ISL_16233149,BA.2,Omicron (BA.2-like)
EPI_ISL_16195953,BA.2,Omicron (BA.2-like)
EPI_ISL_15497421,BA.2,Omicron (BA.2-like)
EPI_ISL_14729511,BA.2,Omicron (BA.2-like)
EPI_ISL_8774430,BA.2,Omicron (BA.2-like)
EPI_ISL_16233120,BA.2,Omicron (BA.2-like)
EPI_ISL_9848150,BA.1,Omicron (BA.1-like)
EPI_ISL_13300883,BA.2.3,Omicron (BA.2-like)
EPI_ISL_9909464,AY.4,Delta (AY.4-like)
EPI_ISL_16177642,BA.2,Omicron (BA.2-like)
EPI_ISL_16197353,BA.2,Omicron (BA.2-like)
EPI_ISL_15497454,BA.2,Omicron (BA.2-like)
EPI_ISL_10856807,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16195008,B.1.617.2,Delta (B.1.617.2-like)
EPI_ISL_8924929,B.1.617.2,Delta (B.1.617.2-like)
EPI_ISL_12351747,BA.2,Omicron (BA.2-like)
EPI_ISL_16211584,BA.2,Omicron (BA.2-like)
EPI_ISL_14727696,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292968,BA.2,Omicron (BA.2-like)
EPI_ISL_14727515,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16196807,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_14727610,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15497857,BA.2,Omicron (BA.2-like)
EPI_ISL_14729038,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9620252,AY.43,Delta (B.1.617.2-like)
EPI_ISL_13292874,BA.2,Omicron (BA.2-like)
EPI_ISL_9031422,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211918,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16233506,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197156,BA.2,Omicron (BA.2-like)
EPI_ISL_16438710,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_16438375,BA.2,Omicron (BA.2-like)
EPI_ISL_11160342,BA.2,Omicron (BA.2-like)
EPI_ISL_10856700,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16195608,BA.2,Omicron (BA.2-like)
EPI_ISL_12687984,BA.2,Omicron (BA.2-like)
EPI_ISL_16438435,BA.2,Omicron (BA.2-like)
EPI_ISL_16195993,BA.2,Omicron (BA.2-like)
EPI_ISL_12351521,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13300847,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197894,BA.2,Omicron (BA.2-like)
EPI_ISL_16211595,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16438734,AY.43,Delta (B.1.617.2-like)
EPI_ISL_11141697,AY.43,Delta (B.1.617.2-like)
EPI_ISL_13476943,AY.43,Delta (B.1.617.2-like)
EPI_ISL_17832982,BA.2,Omicron (BA.2-like)
EPI_ISL_11142050,BA.2,Omicron (BA.2-like)
EPI_ISL_16195915,BA.2,Omicron (BA.2-like)
EPI_ISL_13292661,BA.2,Omicron (BA.2-like)
EPI_ISL_16211278,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16212021,BA.2,Omicron (BA.2-like)
EPI_ISL_16197942,BA.2,Omicron (BA.2-like)
EPI_ISL_16438748,BA.2,Omicron (BA.2-like)
EPI_ISL_14729370,BA.2,Omicron (BA.2-like)
EPI_ISL_13292944,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729121,BA.5.1,Omicron (BA.5-like)
EPI_ISL_10856826,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16233150,BA.2,Omicron (BA.2-like)
EPI_ISL_14729241,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16195610,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16211696,BA.1,Omicron (BA.1-like)
EPI_ISL_16196798,BA.1,Omicron (BA.1-like)
EPI_ISL_10856710,BA.1,Omicron (BA.1-like)
EPI_ISL_16211708,BA.2,Omicron (BA.2-like)
EPI_ISL_15498175,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16438534,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15498320,BA.2,Omicron (BA.2-like)
EPI_ISL_12323732,AY.126,Delta (B.1.617.2-like)
EPI_ISL_16197165,BA.2,Omicron (BA.2-like)
EPI_ISL_16196093,BA.2,Omicron (BA.2-like)
EPI_ISL_15497506,BA.2,Omicron (BA.2-like)
EPI_ISL_13476965,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16438419,BA.2,Omicron (BA.2-like)
EPI_ISL_16438427,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16239631,BA.2,Omicron (BA.2-like)
EPI_ISL_16197945,BA.2,Omicron (BA.2-like)
EPI_ISL_16233195,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9609934,BA.1.15,Omicron (BA.1-like)
EPI_ISL_12130453,BA.1.15,Omicron (BA.1-like)
EPI_ISL_14729255,BF.1,Omicron (BA.5-like)
EPI_ISL_16211068,BA.2,Omicron (BA.2-like)
EPI_ISL_8894167,AY.4,Delta (AY.4-like)
EPI_ISL_16196829,BA.2.9,Omicron (BA.2-like)
EPI_ISL_11160310,BA.2,Omicron (BA.2-like)
EPI_ISL_16211713,BA.2,Omicron (BA.2-like)
EPI_ISL_16211062,BA.2,Omicron (BA.2-like)
EPI_ISL_12351844,BA.2,Omicron (BA.2-like)
EPI_ISL_11160308,BA.1.17,Omicron (BA.1-like)
EPI_ISL_11781651,BA.2,Omicron (BA.2-like)
EPI_ISL_16239625,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351845,BA.2,Omicron (BA.2-like)
EPI_ISL_16232779,BA.2.18,Omicron (BA.2-like)
EPI_ISL_16211776,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16197747,BA.1.17,Omicron (BA.1-like)
EPI_ISL_12352008,BA.1.17,Omicron (BA.1-like)
EPI_ISL_10856761,BA.1.17,Omicron (BA.1-like)
EPI_ISL_13502632,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16196097,BA.2,Omicron (BA.2-like)
EPI_ISL_16239522,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16211552,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16240439,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211991,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211963,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12940721,BA.2,Omicron (BA.2-like)
EPI_ISL_12351560,BA.2,Omicron (BA.2-like)
EPI_ISL_16211404,BA.2,Omicron (BA.2-like)
EPI_ISL_11160335,AY.4,Delta (AY.4-like)
EPI_ISL_8585221,AY.4,Delta (AY.4-like)
EPI_ISL_16195538,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_13829462,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16239493,BA.2,Omicron (BA.2-like)
EPI_ISL_16239526,BA.2,Omicron (BA.2-like)
EPI_ISL_10122686,AY.127,Delta (B.1.617.2-like)
EPI_ISL_16438535,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292841,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16196069,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_16177939,AY.98.1,Delta (B.1.617.2-like)
EPI_ISL_10252283,BA.1.1.14,Omicron (BA.1-like)
EPI_ISL_9620240,BA.1.1.1,Omicron (BA.1-like)
EPI_ISL_14729494,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16232885,BA.2.3,Omicron (BA.2-like)
EPI_ISL_13622936,BA.2.56,Omicron (BA.2-like)
EPI_ISL_15497032,AY.33,Delta (B.1.617.2-like)
EPI_ISL_12227614,BA.2,Omicron (BA.2-like)
EPI_ISL_16233292,BA.2,Omicron (BA.2-like)
EPI_ISL_15497975,BA.2,Omicron (BA.2-like)
EPI_ISL_14727711,BA.2,Omicron (BA.2-like)
EPI_ISL_16197084,BA.2,Omicron (BA.2-like)
EPI_ISL_13716815,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16197144,BA.2,Omicron (BA.2-like)
EPI_ISL_15497948,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729214,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16438580,BA.2.56,Omicron (BA.2-like)
EPI_ISL_9620281,AY.43,Delta (B.1.617.2-like)
EPI_ISL_9467163,B.1.617.2,Delta (B.1.617.2-like)
EPI_ISL_16195892,BA.1.1,Omicron (Unassigned)
EPI_ISL_16195619,BA.1.1,Omicron (BA.1-like)
EPI_ISL_9071546,AY.4.2,Delta (AY.4.2-like)
EPI_ISL_13292956,BA.2,Omicron (BA.2-like)
EPI_ISL_15214007,BA.2,Omicron (BA.2-like)
EPI_ISL_13405884,BA.2,Omicron (BA.2-like)
EPI_ISL_15497423,BA.2,Omicron (BA.2-like)
EPI_ISL_16197843,BA.2,Omicron (BA.2-like)
EPI_ISL_16240449,BA.2,Omicron (BA.2-like)
EPI_ISL_12918766,BA.2.53,Omicron (BA.2-like)
EPI_ISL_14729296,BA.2.3.15,Omicron (BA.2-like)
EPI_ISL_12351729,BF.5,Omicron (BA.5-like)
EPI_ISL_14727717,BF.5,Omicron (BA.5-like)
EPI_ISL_16196774,BA.2,Omicron (BA.2-like)
EPI_ISL_14727685,BA.5,Omicron (BA.5-like)
EPI_ISL_14729071,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13476969,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729501,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292643,BA.4,Omicron (BA.4-like)
EPI_ISL_16232941,BA.2,Omicron (BA.2-like)
EPI_ISL_16233338,BA.2,Omicron (BA.2-like)
EPI_ISL_13538701,BA.2,Omicron (BA.2-like)
EPI_ISL_16211716,BA.2,Omicron (BA.2-like)
EPI_ISL_16211043,BA.1.17,Omicron (BA.1-like)
EPI_ISL_12829099,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16239478,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_14729212,BA.5.2,Omicron (BA.5-like)
EPI_ISL_15497779,BA.2,Omicron (BA.2-like)
EPI_ISL_16233041,BA.5.2,Omicron (BA.5-like)
EPI_ISL_16438700,BA.5.2,Omicron (BA.5-like)
EPI_ISL_15498332,BA.5.1.10,Omicron (BA.5-like)
EPI_ISL_15156822,BA.5.1.10,Omicron (BA.5-like)
EPI_ISL_12771757,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498168,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15287609,BA.4.1,Omicron (BA.4-like)
EPI_ISL_16197723,BA.2,Omicron (BA.2-like)
EPI_ISL_9620244,BA.2,Omicron (BA.2-like)
EPI_ISL_16233399,BA.2,Omicron (BA.2-like)
EPI_ISL_15497144,BA.2,Omicron (BA.2-like)
EPI_ISL_12351752,BA.2,Omicron (BA.2-like)
EPI_ISL_15498047,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197913,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16211789,BA.2,Omicron (BA.2-like)
EPI_ISL_13292590,BA.2,Omicron (BA.2-like)
EPI_ISL_11160318,BA.1.17,Omicron (BA.1-like)
EPI_ISL_15498597,BA.1.17,Omicron (BA.1-like)
EPI_ISL_12351708,BA.2,Omicron (BA.2-like)
EPI_ISL_16211833,BA.2,Omicron (BA.2-like)
EPI_ISL_16239586,BA.2,Omicron (BA.2-like)
EPI_ISL_16211961,BA.2,Omicron (BA.2-like)
EPI_ISL_15498119,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292895,BA.2,Omicron (BA.2-like)
EPI_ISL_16195975,BA.2.9,Omicron (BA.2-like)
EPI_ISL_11141694,AY.43,Delta (B.1.617.2-like)
EPI_ISL_15498520,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16439214,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_9909480,AY.43,Delta (B.1.617.2-like)
EPI_ISL_10856866,AY.125,Delta (B.1.617.2-like)
EPI_ISL_16239602,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16438689,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292975,BA.2,Omicron (BA.2-like)
EPI_ISL_16239457,BA.2,Omicron (BA.2-like)
EPI_ISL_14727538,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_15498519,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16211547,BA.2,Omicron (BA.2-like)
EPI_ISL_10856724,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16240441,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16240596,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12351534,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292622,BA.2,Omicron (BA.2-like)
EPI_ISL_12351828,AY.5,Delta (B.1.617.2-like)
EPI_ISL_8594200,AY.5,Delta (B.1.617.2-like)
EPI_ISL_16233594,BA.2,Omicron (BA.2-like)
EPI_ISL_16438444,BA.4,Omicron (BA.4-like)
EPI_ISL_16438676,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16233400,BA.2,Omicron (BA.2-like)
EPI_ISL_16197521,BA.2,Omicron (BA.2-like)
EPI_ISL_15498241,BA.2,Omicron (BA.2-like)
EPI_ISL_16211631,BA.2,Omicron (BA.2-like)
EPI_ISL_16239426,BA.2,Omicron (BA.2-like)
EPI_ISL_15496993,BA.1.17.2,Omicron (BA.1-like)
EPI_ISL_14728094,BA.5.1,Omicron (BA.5-like)
EPI_ISL_15498097,BA.2.9,Omicron (BA.2-like)
EPI_ISL_12398596,BA.1.17,Omicron (BA.1-like)
EPI_ISL_9620241,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16233248,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16181028,B.1.617.2,Delta (B.1.617.2-like)
EPI_ISL_16180801,B.1.617.2,Delta (B.1.617.2-like)
EPI_ISL_16212096,BA.2,Omicron (BA.2-like)
EPI_ISL_12351812,BA.2,Omicron (BA.2-like)
EPI_ISL_16240465,BA.2,Omicron (BA.2-like)
EPI_ISL_13300958,BA.2,Omicron (BA.2-like)
EPI_ISL_14727630,BA.2,Omicron (BA.2-like)
EPI_ISL_16211494,BE.1.1,Omicron (BA.5-like)
EPI_ISL_15287614,BE.1.1,Omicron (BA.5-like)
EPI_ISL_14729058,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16211236,BA.2,Omicron (BA.2-like)
EPI_ISL_15497794,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498250,BA.2,Omicron (BA.2-like)
EPI_ISL_14729466,BA.2,Omicron (BA.2-like)
EPI_ISL_15497922,BA.2,Omicron (BA.2-like)
EPI_ISL_16197824,BA.2.54,Omicron (BA.2-like)
EPI_ISL_14729304,BA.2.10,Omicron (BA.2-like)
EPI_ISL_16197060,BA.2.10,Omicron (BA.2-like)
EPI_ISL_13292645,BA.2.3,Omicron (BA.2-like)
EPI_ISL_10502942,BA.2,Omicron (Unassigned)
EPI_ISL_15498684,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16233102,BA.2,Omicron (BA.2-like)
EPI_ISL_13292952,BA.2,Omicron (BA.2-like)
EPI_ISL_11675975,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16196899,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16240323,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729306,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16197200,BA.2,Omicron (BA.2-like)
EPI_ISL_14729483,BA.2.44,Omicron (BA.2-like)
EPI_ISL_8894169,AY.43,Delta (B.1.617.2-like)
EPI_ISL_9909498,AY.43,Delta (B.1.617.2-like)
EPI_ISL_13292932,BA.2.82,Omicron (BA.2-like)
EPI_ISL_14729390,BA.2.82,Omicron (BA.2-like)
EPI_ISL_15498429,BA.2,Omicron (BA.2-like)
EPI_ISL_12351908,BA.2,Omicron (BA.2-like)
EPI_ISL_14729219,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14728994,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16196997,BA.2,Omicron (BA.2-like)
EPI_ISL_13292961,BA.2,Omicron (BA.2-like)
EPI_ISL_16195678,BA.2,Omicron (BA.2-like)
EPI_ISL_13716813,BA.2,Omicron (BA.2-like)
EPI_ISL_16197556,BA.2,Omicron (BA.2-like)
EPI_ISL_13293037,BA.2,Omicron (BA.2-like)
EPI_ISL_12351538,BA.2.5,Omicron (BA.2-like)
EPI_ISL_16239427,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16233275,BA.2,Omicron (BA.2-like)
EPI_ISL_13292730,BA.2,Omicron (BA.2-like)
EPI_ISL_16232774,BA.2,Omicron (BA.2-like)
