accession,lineage
EPI_ISL_12254220,BA.2
EPI_ISL_14320740,BA.2
EPI_ISL_11814227,BA.2
EPI_ISL_13130688,BA.2.40.1
EPI_ISL_12248948,BA.2
EPI_ISL_13515098,AY.122
EPI_ISL_11814363,AY.122
EPI_ISL_12995470,BA.2
EPI_ISL_13084929,BA.2
EPI_ISL_13614249,BA.2.5
EPI_ISL_12442303,BA.2
EPI_ISL_13084951,BA.2
EPI_ISL_13085254,BA.2
EPI_ISL_11868605,BA.1.18
EPI_ISL_11580283,BA.1.18
EPI_ISL_11919239,BA.2.10
EPI_ISL_13713778,AY.43
EPI_ISL_9322237,BA.2
EPI_ISL_12617304,BA.2
EPI_ISL_11302855,BA.2
EPI_ISL_11824743,AY.98.1
EPI_ISL_9257742,BA.1
EPI_ISL_11564589,BA.1
EPI_ISL_12157414,BA.2
EPI_ISL_13515107,AY.43
EPI_ISL_10220900,AY.43
EPI_ISL_12996051,BA.2.12.1
EPI_ISL_13842132,BA.2.12.1
EPI_ISL_11563350,BA.2
EPI_ISL_11563564,BA.2.11
EPI_ISL_9879492,BA.1.1
EPI_ISL_11560244,BA.2
EPI_ISL_12212820,AY.43
EPI_ISL_11503386,AY.43
EPI_ISL_13010310,BA.1.15
EPI_ISL_9257729,BA.1.15
EPI_ISL_12421914,BA.2.3
EPI_ISL_13010294,AY.98.1
EPI_ISL_12219540,AY.98.1
EPI_ISL_10098808,AY.9
EPI_ISL_13893776,BA.2.12.1
EPI_ISL_12285259,BA.2
EPI_ISL_12445718,BA.1.18
EPI_ISL_9879493,BA.1.18
EPI_ISL_13086063,BA.2
EPI_ISL_12219276,AY.122
EPI_ISL_9470072,BA.1.1
EPI_ISL_13262927,BA.2
EPI_ISL_12707520,BA.2
EPI_ISL_13614058,BA.2.9
EPI_ISL_12029272,BA.2
EPI_ISL_9319652,AY.122
EPI_ISL_13086405,BA.2
EPI_ISL_13084858,BA.5.2
EPI_ISL_13842784,BA.5.2
EPI_ISL_12442267,BA.2
EPI_ISL_12005950,BA.2
EPI_ISL_12533140,BA.2
EPI_ISL_12995601,BA.2
EPI_ISL_13883952,BA.2.38
EPI_ISL_9125890,AY.4
EPI_ISL_13959223,BA.2
EPI_ISL_12617534,BA.2
EPI_ISL_13085062,BA.2
EPI_ISL_11278980,BA.2
EPI_ISL_13262902,BA.1.1
EPI_ISL_9750859,BA.1.1
EPI_ISL_12709345,BA.2
EPI_ISL_13085199,BA.2
EPI_ISL_12996056,BA.2
EPI_ISL_13514316,BA.2
EPI_ISL_9858178,AY.122.6
EPI_ISL_13085897,BA.5.1
EPI_ISL_13262876,BA.5.1
EPI_ISL_13086395,BA.2
EPI_ISL_12583751,BA.2
EPI_ISL_11998117,BA.2
EPI_ISL_12157411,BA.2
EPI_ISL_11560278,BA.2
EPI_ISL_12442320,BA.2
EPI_ISL_12960665,AY.122
EPI_ISL_9388310,AY.122
EPI_ISL_13955522,AY.122.6
EPI_ISL_10097920,AY.122.6
EPI_ISL_11037022,BA.1.1
EPI_ISL_12152851,BA.2.9
EPI_ISL_12005989,BA.2
EPI_ISL_12157408,BA.2.3
EPI_ISL_11998124,BA.2.3
EPI_ISL_10007018,BA.2.3
EPI_ISL_13085321,BA.2
EPI_ISL_13267373,BA.2
EPI_ISL_13086275,BA.2
EPI_ISL_11840886,BA.2
EPI_ISL_9791381,AY.46.6
EPI_ISL_11372365,AY.113
EPI_ISL_12279372,BA.2
EPI_ISL_10186947,BA.2
EPI_ISL_12156069,BA.2
EPI_ISL_12152865,BA.2
EPI_ISL_13271420,BA.2
EPI_ISL_11580295,AY.109
EPI_ISL_12267960,BA.2
EPI_ISL_12995627,BA.2
EPI_ISL_8810967,AY.122
EPI_ISL_12623795,AY.122
EPI_ISL_12208186,B.1
EPI_ISL_12709212,BA.2
EPI_ISL_9426142,AY.5
EPI_ISL_13954911,BA.2
EPI_ISL_9612284,BA.2
EPI_ISL_12322445,BA.2
EPI_ISL_12996042,BA.2
EPI_ISL_12709343,BA.2
EPI_ISL_12005955,BA.2
EPI_ISL_10314479,BA.1
EPI_ISL_12029500,BA.2
EPI_ISL_12322446,BA.2
EPI_ISL_13376113,B.1.617.2
EPI_ISL_12029989,B.1.617.2
EPI_ISL_11867950,B.1.617.2
EPI_ISL_11840847,B.1.617.2
EPI_ISL_9470040,BA.1.13
EPI_ISL_14320781,BA.2
EPI_ISL_13085005,BA.2
EPI_ISL_12322418,BA.2
EPI_ISL_13713880,BA.2.12.1
EPI_ISL_11449733,BA.2
EPI_ISL_12995597,BA.2
EPI_ISL_11867951,BA.2
EPI_ISL_13084971,AY.43
EPI_ISL_9612302,AY.43
EPI_ISL_9257743,BA.2
EPI_ISL_12836161,BA.2
EPI_ISL_12452169,BA.2.9
EPI_ISL_13086376,AY.46
EPI_ISL_11080832,AY.46
EPI_ISL_9257737,BA.2
EPI_ISL_12442281,AY.42
EPI_ISL_8782438,AY.42
EPI_ISL_12322430,BA.2
EPI_ISL_10099778,BA.2
EPI_ISL_12583770,BA.1.1
EPI_ISL_11037029,BA.1.1
EPI_ISL_13618691,BA.2.9
EPI_ISL_13376111,BA.2.9
EPI_ISL_12259104,BA.2.9
EPI_ISL_12709285,BA.2.9
EPI_ISL_11079402,BA.2
EPI_ISL_13363035,BA.2
EPI_ISL_9458364,AY.122.6
EPI_ISL_9256849,BA.2
EPI_ISL_12995840,BA.2
EPI_ISL_12421976,BA.2
EPI_ISL_12995628,BA.2
EPI_ISL_9796038,AY.122
EPI_ISL_13955515,BA.2.12.1
EPI_ISL_11871063,BA.2
EPI_ISL_13578659,BA.2.12.1
EPI_ISL_9855285,BA.2.12
EPI_ISL_13140624,BA.2
EPI_ISL_11567826,BA.2
EPI_ISL_12155350,BA.2
EPI_ISL_11223668,BA.1.18
EPI_ISL_9666132,AY.43
EPI_ISL_12285262,BA.2
EPI_ISL_13271389,BA.2.12
EPI_ISL_10021306,BA.1.1.1
EPI_ISL_12029516,BA.2
EPI_ISL_9257723,BA.2
EPI_ISL_13086081,BA.2
EPI_ISL_8935990,AY.122
EPI_ISL_12452182,BA.2
EPI_ISL_13714185,BA.2.12.1
EPI_ISL_13084945,BA.2.9.3
EPI_ISL_9186503,AY.43
EPI_ISL_13616750,BA.2.18
EPI_ISL_11867930,BA.2
EPI_ISL_10352328,AY.43
EPI_ISL_9520026,AY.43
EPI_ISL_13617604,XAR
EPI_ISL_13267264,BA.2
EPI_ISL_13514200,BA.2.12.1
EPI_ISL_13375948,BA.2.12.1
EPI_ISL_13262875,AY.43
EPI_ISL_9855383,AY.43
EPI_ISL_12441757,BA.2.36
EPI_ISL_12709265,BA.2
EPI_ISL_13085567,BA.2
EPI_ISL_12005958,BA.2
EPI_ISL_13959200,BA.1.18
EPI_ISL_10007026,BA.1.18
EPI_ISL_12714546,AY.5
EPI_ISL_8782437,AY.5
EPI_ISL_12709232,BA.2
EPI_ISL_11814228,BA.2.3
EPI_ISL_12441795,BA.2.3
EPI_ISL_13085521,BA.2.3
EPI_ISL_12812144,BA.2
EPI_ISL_13616664,BA.2
EPI_ISL_13085481,BA.2
EPI_ISL_12587184,BA.2
EPI_ISL_13086379,BA.2
EPI_ISL_13085861,AY.9.2
EPI_ISL_9612186,AY.9.2
EPI_ISL_10352358,AY.98.1
EPI_ISL_13514118,B.1.617.2
EPI_ISL_10122756,B.1.617.2
EPI_ISL_13514198,BA.2.12.1
EPI_ISL_11814301,BA.2
EPI_ISL_12064988,BA.2
EPI_ISL_12812138,BA.2
EPI_ISL_11840898,BA.2
EPI_ISL_9515149,AY.98.1
EPI_ISL_13085236,BA.2.9
EPI_ISL_12709340,BA.2.9
EPI_ISL_11871073,BA.2
EPI_ISL_11916386,BA.2
EPI_ISL_12995555,BA.2
EPI_ISL_9256847,BA.2
EPI_ISL_13959166,BA.2
EPI_ISL_11840874,BA.2
EPI_ISL_14030751,BA.2.9.3
EPI_ISL_13086099,BA.2.9.3
EPI_ISL_8673615,AY.122
EPI_ISL_12152827,BA.2
EPI_ISL_13616923,BA.2
EPI_ISL_12709275,BA.2
EPI_ISL_13069792,B.1.617.2
EPI_ISL_10317609,B.1.617.2
EPI_ISL_11994248,BA.2
EPI_ISL_12995623,BA.2
EPI_ISL_13085947,BA.2
EPI_ISL_10314490,BA.1.1.11
EPI_ISL_12717907,BA.2
EPI_ISL_12709681,BA.2
EPI_ISL_12005968,BA.2
EPI_ISL_12152836,BA.2
EPI_ISL_11580285,BA.1.1
EPI_ISL_12996067,BA.2
EPI_ISL_13084822,BA.2
EPI_ISL_13086014,BA.2
EPI_ISL_11998119,BA.2
EPI_ISL_9879523,B.1.617.2
EPI_ISL_12512749,BA.2
EPI_ISL_13262918,BA.2
EPI_ISL_12029533,BA.2
EPI_ISL_12718031,BA.2
EPI_ISL_9783627,AY.42
EPI_ISL_13514379,BA.2.18
EPI_ISL_13085098,BA.2
EPI_ISL_9425738,BA.2
EPI_ISL_13085263,BA.2
EPI_ISL_13132197,BA.2
EPI_ISL_10099999,BA.2
EPI_ISL_13271249,BA.2
EPI_ISL_12280070,BA.1.1.1
EPI_ISL_11564575,BA.1.1.1
EPI_ISL_13517107,BA.2
EPI_ISL_13616642,BA.2
EPI_ISL_13713541,BA.2
EPI_ISL_11279000,BA.2.6
EPI_ISL_12177021,BA.2
EPI_ISL_12587205,BA.2
EPI_ISL_12177010,BA.2
EPI_ISL_13271338,BA.2
EPI_ISL_13614051,BA.2
EPI_ISL_12579889,BA.2
EPI_ISL_13444590,BA.2.56
EPI_ISL_9016123,AY.43
EPI_ISL_14439305,BA.2.40.1
EPI_ISL_8812562,AY.43
EPI_ISL_11560286,BA.2
EPI_ISL_11563526,BA.1.1
EPI_ISL_12709671,BA.2
EPI_ISL_13842767,BA.4.1
EPI_ISL_11579837,BA.1.1.1
EPI_ISL_13295472,BA.2
EPI_ISL_9319656,AY.43
EPI_ISL_13084878,BA.2
EPI_ISL_11841740,BA.2
EPI_ISL_11372359,AY.121
EPI_ISL_11273528,BA.2.9
EPI_ISL_12442325,BA.2.9
EPI_ISL_10314480,BA.1.15
EPI_ISL_12709361,BA.2
EPI_ISL_13262891,BA.2
EPI_ISL_11560255,BA.2
EPI_ISL_13271253,BA.2
EPI_ISL_13714520,BA.2
EPI_ISL_12248900,BA.2
EPI_ISL_12156070,BA.2
EPI_ISL_11841748,BA.2
EPI_ISL_12452159,BA.2
EPI_ISL_13086238,BA.2
EPI_ISL_13085271,BA.2
EPI_ISL_13085187,BA.2
EPI_ISL_9458362,BA.2
EPI_ISL_12995641,BA.2
EPI_ISL_12029492,BA.2
EPI_ISL_9319412,AY.34.1
EPI_ISL_9388351,AY.126
EPI_ISL_12322415,BA.2
EPI_ISL_9602931,BA.2
EPI_ISL_11344117,BA.2
EPI_ISL_12583765,BA.2
EPI_ISL_13958924,BA.2.44
EPI_ISL_11814296,BA.2.44
EPI_ISL_12152829,BA.2
EPI_ISL_13514272,BA.2
EPI_ISL_13655797,BA.2
EPI_ISL_11563519,BA.2
EPI_ISL_12061810,XAD
EPI_ISL_11840875,BA.2.9.4
EPI_ISL_13086429,BA.2
EPI_ISL_12641816,BA.2
EPI_ISL_9797629,AY.34
EPI_ISL_10004752,BA.1.1
EPI_ISL_13068701,BA.2
EPI_ISL_11560249,BA.2
EPI_ISL_13515105,BA.2
EPI_ISL_11372219,BA.2
EPI_ISL_11273532,BA.1.1.1
EPI_ISL_9704072,BA.1.1.1
EPI_ISL_12709305,BA.1.18
EPI_ISL_10314499,BA.1.18
EPI_ISL_13085338,BA.2
EPI_ISL_13085283,BA.2
EPI_ISL_11563501,BA.2
EPI_ISL_12248901,BA.2
EPI_ISL_8787552,BA.2
EPI_ISL_12065039,BA.2
EPI_ISL_12709694,BA.2
EPI_ISL_13085082,BA.2.9.3
EPI_ISL_13283847,BA.1.1
EPI_ISL_10594143,BA.2
EPI_ISL_12641848,BA.2
EPI_ISL_11919005,BA.2.12
EPI_ISL_9426166,BA.2
EPI_ISL_13514532,BA.2
EPI_ISL_12709261,BA.2
EPI_ISL_12065008,BA.2
EPI_ISL_8811893,AY.4
EPI_ISL_12785787,BA.2
EPI_ISL_11814239,BA.2
EPI_ISL_9598779,AY.122.6
EPI_ISL_12714477,BA.2
EPI_ISL_13177576,BA.1.13
EPI_ISL_11580276,BA.1.13
EPI_ISL_12995622,BA.2
EPI_ISL_13295478,BA.2
EPI_ISL_13578706,AY.98.1
EPI_ISL_11371733,AY.98.1
EPI_ISL_11567883,BA.2
EPI_ISL_12441792,BA.2
EPI_ISL_13085159,BA.2
EPI_ISL_10694901,BA.1.1
EPI_ISL_9388293,BA.1.1
EPI_ISL_11328231,BA.2.6
EPI_ISL_11995592,BA.2.9
EPI_ISL_13883728,BA.2.9
EPI_ISL_13086018,BA.2
EPI_ISL_14320979,BA.2
EPI_ISL_11223442,BA.2
EPI_ISL_13362553,BA.2
EPI_ISL_11273531,BA.2
EPI_ISL_12280293,BA.2
EPI_ISL_13085304,BA.2.9
EPI_ISL_11840859,BA.2.36
EPI_ISL_14320845,BA.2.36
EPI_ISL_9855323,AY.122
EPI_ISL_11079964,AY.122
EPI_ISL_11563535,AY.122
EPI_ISL_12047566,AY.122
EPI_ISL_10098723,AY.127
EPI_ISL_11488323,AY.4
EPI_ISL_10312302,BA.1.1
EPI_ISL_12285271,BA.2
EPI_ISL_12442276,BA.2
EPI_ISL_12133212,BA.2
EPI_ISL_14227469,BA.1.1.1
EPI_ISL_11037016,BA.1.1.1
EPI_ISL_10134344,BA.1.1.1
EPI_ISL_11560257,BA.2
EPI_ISL_13839524,BA.2
EPI_ISL_12442273,BA.2
EPI_ISL_13010304,BA.2
EPI_ISL_13842753,AY.4.2
EPI_ISL_9016122,AY.4.2
EPI_ISL_9597351,AY.4.2
EPI_ISL_13085968,BA.2
EPI_ISL_13376120,BA.5.1
EPI_ISL_11506827,AY.4
EPI_ISL_12892403,BA.2
EPI_ISL_13514901,BA.2.36
EPI_ISL_11371981,BA.2
EPI_ISL_11563563,BA.2
EPI_ISL_13376174,BA.2.9
EPI_ISL_10317608,B.1.617.2
EPI_ISL_11563443,BA.2
EPI_ISL_11994236,BA.2
EPI_ISL_15332915,BA.2
EPI_ISL_13271385,BA.2.3.6
EPI_ISL_12579886,BA.5.1
EPI_ISL_12322410,BA.5.1
EPI_ISL_13955538,BA.5.1
EPI_ISL_9016124,AY.120
EPI_ISL_9089637,BA.1.1
EPI_ISL_12152794,BA.2.9
EPI_ISL_13086130,BA.2
EPI_ISL_9388325,AY.9.2
EPI_ISL_11841751,BA.2
EPI_ISL_10097318,AY.121
EPI_ISL_10071269,AY.121
EPI_ISL_12995568,BA.2
EPI_ISL_13378701,BA.2.56
EPI_ISL_8847174,B.1.617.2
EPI_ISL_11580279,B.1.617.2
EPI_ISL_12995492,BA.2
EPI_ISL_11841746,BA.2
EPI_ISL_12248903,AY.43
EPI_ISL_9426510,AY.43
EPI_ISL_9426137,AY.122
EPI_ISL_13713375,BA.2.18
EPI_ISL_9320688,AY.133
EPI_ISL_11564602,BA.2
EPI_ISL_12587202,BA.2
EPI_ISL_13085451,BA.2
EPI_ISL_11563375,BA.1.1.1
EPI_ISL_8671939,AY.43
EPI_ISL_12709525,BA.2
EPI_ISL_10071304,BA.2
EPI_ISL_12587127,BA.2
EPI_ISL_9602941,BA.1.17
EPI_ISL_12065054,BA.5.2.1
EPI_ISL_13714525,BA.5.2.1
EPI_ISL_12582276,BA.2.9.4
EPI_ISL_13423516,BF.5
EPI_ISL_12254670,AY.4
EPI_ISL_13213131,BA.2
EPI_ISL_11563331,BA.1.1.1
EPI_ISL_13069778,BA.2
EPI_ISL_11560293,BA.2
EPI_ISL_11867936,BA.2
EPI_ISL_12473999,BA.2.9
EPI_ISL_11824614,AY.129
EPI_ISL_12280066,BA.2.9.4
EPI_ISL_11579814,BA.2
EPI_ISL_11580005,B.1.1.529
EPI_ISL_13262940,BA.2.12
EPI_ISL_10004756,BA.2.12
EPI_ISL_12152853,BA.2
EPI_ISL_12709653,BA.2
EPI_ISL_13295479,BA.2
EPI_ISL_12322467,BA.2
EPI_ISL_9416026,AY.43
EPI_ISL_12253851,BA.2
EPI_ISL_13085235,BA.2
EPI_ISL_10071302,AY.126
EPI_ISL_13744932,BA.2.9.3
EPI_ISL_11371919,AY.4
EPI_ISL_12520206,XAE
EPI_ISL_12322431,BA.2
EPI_ISL_12747236,BA.2
EPI_ISL_13842745,BA.5.1
EPI_ISL_13714136,BA.2
EPI_ISL_12213727,AY.122
EPI_ISL_11994228,BA.2
EPI_ISL_11560295,BA.2
EPI_ISL_10888236,BA.2.10
EPI_ISL_11567838,BA.1.1.1
EPI_ISL_13085068,BA.2
EPI_ISL_12184603,BA.2.6
EPI_ISL_9855302,AY.122
EPI_ISL_13177638,BA.2
EPI_ISL_13085426,BA.2.37
EPI_ISL_10312285,BA.1.15
EPI_ISL_15332901,BA.2.9.3
EPI_ISL_12065040,BA.2
EPI_ISL_12152863,BA.2
EPI_ISL_9178362,AY.122
EPI_ISL_13085517,BA.2
EPI_ISL_10314477,BA.1.17
EPI_ISL_13376087,BA.2.3.15
EPI_ISL_8869108,B.1.617.2
EPI_ISL_13085673,BA.2
EPI_ISL_12279341,BA.2
EPI_ISL_12995456,BA.2
EPI_ISL_9357277,BA.2
EPI_ISL_11994280,BA.2
EPI_ISL_13376099,BA.2.36
EPI_ISL_13177612,BA.2
EPI_ISL_9388291,BA.1.17.2
EPI_ISL_12412769,BA.2
EPI_ISL_13086317,BA.2
EPI_ISL_12691168,BA.2
EPI_ISL_13086062,BA.2
EPI_ISL_12617210,BA.2
EPI_ISL_12442326,BA.2
EPI_ISL_12254326,AY.43
EPI_ISL_13177580,BA.2
EPI_ISL_13262874,BA.4.4
EPI_ISL_13579428,BA.2.6
EPI_ISL_12477105,BA.2
EPI_ISL_13446956,BA.5.1
EPI_ISL_9388767,AY.34.1
EPI_ISL_11502879,AY.122
EPI_ISL_10004755,BA.1.1.1
EPI_ISL_13773412,BA.5.1
EPI_ISL_9916223,AY.122
EPI_ISL_11273530,BA.2
EPI_ISL_11867948,BA.2
EPI_ISL_13959148,BA.2
EPI_ISL_13444689,BA.2.9
EPI_ISL_12641764,BA.2.9
EPI_ISL_12248887,BA.2
EPI_ISL_12442310,BA.2.14
EPI_ISL_10314332,BA.2
EPI_ISL_10776998,AY.46.6
EPI_ISL_12215587,AY.43
EPI_ISL_12322416,BA.2.3
EPI_ISL_12753570,BA.2
EPI_ISL_11841745,BA.2
EPI_ISL_13085220,BA.2
EPI_ISL_13444638,BA.2.12.1
EPI_ISL_8787707,AY.122
EPI_ISL_12995614,BA.2
EPI_ISL_13516964,BA.2
EPI_ISL_12412645,BA.2
EPI_ISL_12995563,BA.2
EPI_ISL_11840939,BA.2
EPI_ISL_12029512,BA.2
EPI_ISL_10099934,AY.43
EPI_ISL_13713873,BA.2
EPI_ISL_10122761,B.1.617.2
EPI_ISL_12179602,BA.1.1.1
EPI_ISL_11279007,BA.2
EPI_ISL_13036418,BA.2
EPI_ISL_10099399,AY.98.1
EPI_ISL_13713855,BA.2
EPI_ISL_13177606,BA.2
EPI_ISL_12029502,BA.2
EPI_ISL_14864902,AY.122
EPI_ISL_10314493,BA.1.1
EPI_ISL_12995485,BA.2
EPI_ISL_10099321,AY.43
EPI_ISL_10314489,BA.1.1
EPI_ISL_13085666,BA.2
EPI_ISL_11560272,BA.2
EPI_ISL_9797645,AY.43
EPI_ISL_11371975,AY.43
EPI_ISL_9602870,AY.43
EPI_ISL_12995613,BA.2.49
EPI_ISL_12995486,BA.2
EPI_ISL_12892402,BA.2
EPI_ISL_9388315,AY.122
EPI_ISL_8812161,B.1.617.2
EPI_ISL_12254202,AY.98.1
EPI_ISL_12152855,BA.2
EPI_ISL_11372205,BA.2
EPI_ISL_11919010,BA.2
EPI_ISL_9178359,AY.43
EPI_ISL_12254186,AY.43
EPI_ISL_12579856,BA.2
EPI_ISL_13376047,BA.2.50
EPI_ISL_12065030,BA.2
EPI_ISL_14030776,BA.2.18
EPI_ISL_10312929,AY.43
EPI_ISL_13085197,BA.2
EPI_ISL_13177593,BA.2
EPI_ISL_12709271,BA.2
EPI_ISL_13085293,BA.2.6
EPI_ISL_12995632,BA.2
EPI_ISL_10099972,AY.122
EPI_ISL_9855252,AY.113
EPI_ISL_12582274,BA.2.9.4
EPI_ISL_8787667,AY.120
EPI_ISL_12166303,BA.2.9
EPI_ISL_13085081,BA.2
EPI_ISL_12322428,BA.2
EPI_ISL_13376139,BA.2.40.1
EPI_ISL_11372270,AY.43
EPI_ISL_10099363,AY.43
EPI_ISL_13253712,BA.1
EPI_ISL_9470070,BA.1
EPI_ISL_13085306,BA.2
EPI_ISL_13616754,BA.2
EPI_ISL_12617312,BA.2
EPI_ISL_12259591,BA.2
EPI_ISL_11563516,BA.1.1
EPI_ISL_13578634,BA.2
EPI_ISL_11579921,BA.2
EPI_ISL_13754840,BA.2.12.1
EPI_ISL_12134323,BA.2
EPI_ISL_12029524,BA.2
EPI_ISL_11328423,BA.2
EPI_ISL_8671779,AY.4
EPI_ISL_9600147,B.1.617.2
EPI_ISL_9319080,AY.122.6
EPI_ISL_12398265,BA.2
EPI_ISL_13361404,BA.2
EPI_ISL_12582572,BA.2
EPI_ISL_13618418,BA.1.1.1
EPI_ISL_11995568,BA.1.1.1
EPI_ISL_11564596,BA.1.18
EPI_ISL_9470047,BA.1.1.15
EPI_ISL_12322442,BA.2
EPI_ISL_12587134,BA.2
EPI_ISL_13616786,BA.2
EPI_ISL_11563408,BA.2
EPI_ISL_12196988,BA.2
EPI_ISL_12029493,BA.2
EPI_ISL_9320722,BA.2.49
EPI_ISL_12641875,BA.2.49
EPI_ISL_12421771,BA.2
EPI_ISL_13085472,BA.2
EPI_ISL_12587191,BA.2
EPI_ISL_12280175,BA.1.1
EPI_ISL_12683688,BA.1.1.1
EPI_ISL_8869101,AY.98.1
EPI_ISL_13050731,BA.5.1
EPI_ISL_13842747,BA.5.1
EPI_ISL_11580100,BA.1.18
EPI_ISL_9319527,AY.4.2
EPI_ISL_13137009,BA.2
EPI_ISL_12412685,BA.2
EPI_ISL_12685778,BA.2
EPI_ISL_12254663,AY.92
EPI_ISL_10314488,BA.2
EPI_ISL_13136927,BA.2
EPI_ISL_13446901,BA.2
EPI_ISL_13616976,BA.2
EPI_ISL_13271430,AY.43
EPI_ISL_9855406,BA.2.9
EPI_ISL_13086089,BA.2.9
EPI_ISL_12152858,BA.2
EPI_ISL_12751858,AY.43
EPI_ISL_10776953,AY.43
EPI_ISL_10099394,AY.36
EPI_ISL_11564567,BA.2
EPI_ISL_12421960,BA.2
EPI_ISL_12617176,BA.2
EPI_ISL_12587114,BA.2
EPI_ISL_12152820,BA.2
EPI_ISL_12452161,BA.2.9
EPI_ISL_13084866,BA.2
EPI_ISL_11171161,B.1.617.2
EPI_ISL_12219995,AY.4.2
EPI_ISL_10945891,AY.127
EPI_ISL_13086008,B.1.617.2
EPI_ISL_9613643,B.1.617.2
EPI_ISL_12065037,BA.2
EPI_ISL_11560254,BA.2
EPI_ISL_9795621,AY.43
EPI_ISL_12587199,BA.2
EPI_ISL_11994240,BA.2
EPI_ISL_11579977,BA.2
EPI_ISL_12064990,BA.2
EPI_ISL_8671762,AY.43
EPI_ISL_9156124,AY.43
EPI_ISL_12587187,BA.2
EPI_ISL_13955717,BA.2.18
EPI_ISL_12442316,BA.2
EPI_ISL_11666761,BA.2.10
EPI_ISL_13271349,BA.2
EPI_ISL_9603059,BA.2
EPI_ISL_13010945,BA.2
EPI_ISL_10776946,AY.4
EPI_ISL_13177611,BA.2
EPI_ISL_12904088,BA.2
EPI_ISL_11171168,B.1.617.2
EPI_ISL_9520018,AY.43
EPI_ISL_11580270,B.1.1.529
EPI_ISL_12582570,B.1.617.2
EPI_ISL_12061727,B.1.617.2
EPI_ISL_11564576,BA.2
EPI_ISL_13086034,BA.2
EPI_ISL_11563515,BA.2
EPI_ISL_12617217,BA.2.9.3
EPI_ISL_11279005,BA.2
EPI_ISL_9388353,AY.3
EPI_ISL_9388347,BA.2.9
EPI_ISL_8873941,BA.2.9
EPI_ISL_12786981,BA.2.9
EPI_ISL_12617321,BA.2
EPI_ISL_10007022,BA.2
EPI_ISL_10312958,AY.43
EPI_ISL_11997120,BA.2
EPI_ISL_11814214,XAD
EPI_ISL_12352178,XAD
EPI_ISL_12512736,AY.122
EPI_ISL_9858087,AY.122
EPI_ISL_9858157,AY.122.6
EPI_ISL_12045932,BA.2
EPI_ISL_13579439,BA.2.36
EPI_ISL_13754841,BA.2.13
EPI_ISL_12219239,AY.43
EPI_ISL_8812048,BA.2
EPI_ISL_13086039,BA.2
EPI_ISL_9791204,AY.43
EPI_ISL_10314498,BA.1.1.1
EPI_ISL_12751862,BA.2
EPI_ISL_13514488,BA.2.9
EPI_ISL_13086362,BA.2
EPI_ISL_9425898,AY.43
EPI_ISL_12064992,AY.113
EPI_ISL_13085477,AY.113
EPI_ISL_12579865,AY.113
EPI_ISL_8671745,AY.113
EPI_ISL_9602924,BA.1.1.1
EPI_ISL_14320731,BA.2.12.1
EPI_ISL_9669766,AY.43
EPI_ISL_11372456,AY.43
EPI_ISL_13362555,BA.2
EPI_ISL_13362556,BA.2
EPI_ISL_12753552,BA.2
EPI_ISL_10073593,BA.2.9
EPI_ISL_13086168,BA.2.9
EPI_ISL_12064981,BA.2
EPI_ISL_9320500,AY.122
EPI_ISL_9425854,AY.43
EPI_ISL_13713875,BA.2
EPI_ISL_12248958,BA.2
EPI_ISL_10776787,BA.2
EPI_ISL_9429112,BA.2
EPI_ISL_13376097,BA.2
EPI_ISL_9015995,AY.43
EPI_ISL_11579906,BA.2
EPI_ISL_14320965,BA.2
EPI_ISL_9879439,BA.1.13
EPI_ISL_12641869,BA.2
EPI_ISL_11995576,BA.2.12.1
EPI_ISL_14320935,BA.2.12.1
EPI_ISL_12279328,AY.43
EPI_ISL_9155718,AY.43
EPI_ISL_12219963,AY.43
EPI_ISL_12280158,BA.2
EPI_ISL_11580341,BA.2
EPI_ISL_13085111,BA.2
EPI_ISL_12179608,BA.2
EPI_ISL_13089070,BA.2
EPI_ISL_11560264,BA.2
EPI_ISL_11560271,BA.2
EPI_ISL_11488315,AY.43
EPI_ISL_9599642,AY.122
EPI_ISL_10312303,BA.2
EPI_ISL_13086040,BA.2
EPI_ISL_12512782,BA.2
EPI_ISL_10021318,BA.2
EPI_ISL_13617038,BA.2.9
EPI_ISL_14320993,BA.2.9
EPI_ISL_13617576,BA.2.18
EPI_ISL_13177618,BA.2.9
EPI_ISL_12285221,BA.2
EPI_ISL_11242671,AY.43
EPI_ISL_9425114,AY.4.2
EPI_ISL_13085689,BA.4.1
EPI_ISL_16467411,BA.4.1
EPI_ISL_13842752,BA.4.1
EPI_ISL_11278979,BA.2
EPI_ISL_10717780,AY.43
EPI_ISL_9879436,XD
EPI_ISL_13514431,BA.2.3
EPI_ISL_12709309,BA.2
EPI_ISL_10888233,BA.2
EPI_ISL_11223673,BA.2
EPI_ISL_13714492,BA.5.1
EPI_ISL_13086381,BA.2
EPI_ISL_13300444,BA.2
EPI_ISL_15019225,AY.4
EPI_ISL_13297264,BA.2.12
EPI_ISL_9862309,BA.2.3
EPI_ISL_13883875,BA.2.3
EPI_ISL_13714486,BA.5.2.1
EPI_ISL_9016142,BA.5.2.1
EPI_ISL_13617622,BA.2
EPI_ISL_13363037,BA.2
EPI_ISL_13085114,BA.2
EPI_ISL_12152831,BA.2
EPI_ISL_12836168,BA.2
EPI_ISL_13085658,BA.2
EPI_ISL_11580149,BA.2
EPI_ISL_9322055,AY.34
EPI_ISL_12441801,BA.2
EPI_ISL_8812050,AY.43
